"REFERENCE_PAYMENT","METODO_RECIBO","NUM_PAGO","NUM_ESTABLECIMIENTO","MONTO_PAGO","MONTO_PAGO_NETO","DIFERENCIA","IMPORTE_BC","IMPORTE_TMS","TOLERANCIA","FECHA_PAGO","NUMEROS_DOCUMENTOS","TABLA_PUENTE_IDS"
"AMEXCO SE 9350021532-27022024","SANTANDER_3550","0540055496","9350021532",13496,13195.52,-1052,14247.52,13496,"0",27/02/24,"2422419ERP04AERTF_816,2522419ERP04AERTF_12680,2522419ERP4MSJERTF_1052","1203387,1203582,1203720"
"AMEXCO SE 9350021532-28022024","SANTANDER_3550","0540055495","9350021532",24218,23698.27,-500,24198.27,24218,"0",28/02/24,"2222419ERP04AERTF_2040,2222419ERP04AERTF_816,2322419ERP04AERTF_10659,2322419ERP04AERTF_2040,2322419ERP4MSJERTF_500,23224487ERT04G1TP1TF_900,2422419ERP04AERTF_7303,24224487ERP04AERTF_460","1202774,1202774,1203078,1203083,1203083,1203165,1203387,1203388"
"AMEXCO SE 9350021532-28022024","SANTANDER_3550","0570080569","9350021532",12944,12655.84,-450,13105.84,12944,"0",28/02/24,"2522419ERP04AERTF_2448,2522419ERP04AERTF_816,2622419ERP04AERTF_8610,2622419ERP4MSJERTF_450,26224487ERP04AERTF_920,26224487ERT04G1TP1TF_150","1203582,1203582,1203952,1203959,1203960,1204029"
"AMEXCO SE 9350021532-29022024","SANTANDER_3550","0580090370","9350021532",14192,13876.04,-1585,15461.04,14192,"0",29/02/24,"2622419ERP04AERTF_2856,2622419ERP04AERTF_816,2722419ERP04AERTF_10520,2722419ERP4MSJERTF_1585","1203960,1203960,1204276,1204338"
"AMEXCO SE 9350021565-01032024","SANTANDER_3550","0590102192","9350021565",292,285.03,0,285.03,292,"0",01/03/24,"2722418ERP04SERTF_106,2822418ERP04SERTF_186","1204156,1204456"
"AMEXCO SE 9350021565-05032024","SANTANDER_3550","0600010897,0610024933","9350021565",1308,1279.08,0,1279.08,1308,"0",05/03/24,"0332418ERP04PERTF_564,0332418ERP04SERTF_496,2922418ERP04SERTF_248","1204777,1205710,1205748"
"AMEXCO SE 9350021565-06032024","SANTANDER_3550","0610024932,0640050296","9350021565",3757,3675.59,0,3675.59,3757,"0",06/03/24,"0132418ERP04SERTF_992,0132425ERP04PERTF_568,0232418ERP04PERTF_280,0232418ERP04SERTF_428,0232425ERP04PERTF_511,0432418ERP04PERTF_504,0432418ERT04ITPTF_190,0432425ERP04PERTF_284","1205105,1205194,1205418,1205456,1205499,1206005,1206017,1206071"
"AMEXCO SE 9350021565-07032024","SANTANDER_3550","0650060399","9350021565",776,758.71,0,758.71,776,"0",07/03/24,"0532418ERP04PERTF_280,0532418ERP04SERTF_496","1206245,1206282"
"AMEXCO SE 9350021565-08032024","SANTANDER_3550","0660072336","9350021565",1068,1042.5,0,1042.5,1068,"0",08/03/24,"0532418ERP04SERTF_248,0632418ERP04PERTF_560,0632418ERP04SERTF_260","1206245,1206520,1206557"
"AMEXCO SE 9350021565-12032024","SANTANDER_3550","0670080476,0680095315","9350021565",1790,1751.49,0,1751.49,1790,"0",12/03/24,"0632418ERP04SERTF_248,0732418ERP04PERTF_560,0732425ERP04PERTF_852,1032418ERP04SERTF_130","1206520,1206861,1206874,1207710"
"AMEXCO SE 9350021565-13032024","SANTANDER_3550","0680095314,0710020605","9350021565",7788,7618.81,0,7618.81,7788,"0",13/03/24,"0832418ERP04PERTF_1488,0832425ERP04PERTF_1817,0932418ERP04PERTF_280,0932418ERP04SERTF_992,0932418ERT04ITPTF_190,0932420ERP04SERTF_446,1132418ERP04PERTF_784,1132418ERP04SERTF_1016,1132420ERP44PERTF_264,1132425ERP04PERTF_511","1207157,1207169,1207420,1207458,1207461,1207528,1207947,1207986,1207996,1207997"
"AMEXCO SE 9350021565-14032024","SANTANDER_3550","0720030401","9350021565",2101,2054.23,0,2054.23,2101,"0",14/03/24,"1232425ERP04PERTF_2101","1208313"
"AMEXCO SE 9350021565-15032024","SANTANDER_3550","0730043383","9350021565",284,276.99,0,276.99,284,"0",15/03/24,"1332425ERP04PERTF_284","1208615"
"AMEXCO SE 9350021565-20022024","SANTANDER_3550","0470085922","9350021565",3877,3780.25,-347,4127.25,3877,"0",20/02/24,"1622418ERP04PERTF_504,1622418ERP04SERTF_248,1622418ERP4MSJERTF_347,1622418ERT04ITPTF_347,1622420ERT4MSRTPTF_500,1622425ERP04PERTF_518,1722418ERP04PERTF_284,1722418ERT04ITPTF_356,1722425ERP04PERTF_568,1822418ERP04SERTF_552","1200857,1200892,1200904,1200921,1201034,1201064,1201198,1201214,1201253,1201448"
"AMEXCO SE 9350021565-22022024","SANTANDER_3550","0510020660","9350021565",1299,1270.08,-1299,2569.08,2598,"0",22/02/24,"2022418ERP04PERTF_788,2022418ERP04PERTF_788,2022425ERP04PERTF_511,2022425ERP04PERTF_511","1202068,1202068,1202083,1202083"
"AMEXCO SE 9350021565-23022024","SANTANDER_3550","0520031579","9350021565",780,761.38,-248,1009.38,1028,"0",23/02/24,"2022418ERP04SERTF_248,2022418ERP04SERTF_248,2122418ERP04SERTF_248,2122425ERP04PERTF_284","1202035,1202035,1202338,1202385"
"AMEXCO SE 9350021565-27022024","SANTANDER_3550","0530041164,0540055498","9350021565",1412,1381.24,0,1381.24,1412,"0",27/02/24,"2222418ERP04PERTF_840,2522418ERT04ITPTF_288,2522425ERP04PERTF_284","1202688,1203632,1203648"
"AMEXCO SE 9350021565-28022024","SANTANDER_3550","0540055497,0570080570","9350021565",5332,5216.28,0,5216.28,5332,"0",28/02/24,"2222418ERP04SERTF_248,2322418ERP04PERTF_840,2322418ERP04SERTF_1184,2322418ERP4MSERTF_142,2322425ERP04PERTF_864,2422418ERP04SERTF_434,2522418ERP04SERTF_198,2622418ERP04PERTF_926,2622418ERP04SERTF_496","1202652,1202954,1202994,1203009,1203117,1203283,1203579,1203826,1203865"
"AMEXCO SE 9350021565-29022024","SANTANDER_3550","0580090371","9350021565",840,821.3,0,821.3,840,"0",29/02/24,"2622418ERP04PERTF_840","1203865"
"AMEXCO SE 9350060670-05032024","SANTANDER_3550","0600010956","9350060670",820,802.4,0,802.4,820,"10",05/03/24,"2922415ERT44GTP1TF_820","1204917"
"AMEXCO SE 9350060670-05032024","SANTANDER_3550","0610025005","9350060670",735,718.63,120,598.63,615,"10",05/03/24,"0332415ERT44GTP1TF_615","1205809"
"AMEXCO SE 9350060670-06032024","SANTANDER_3550","0610025004,0640050346","9350060670",4382,4054.82,0,4054.82,4382,"10",06/03/24,"0132415ERP44AERTF_816,0132415ERT44GTP1TF_1230,0232415ERP44AERTF_734,0232415ERT44GTP1TF_208,0332415ERT44GTP1TF_410,0432415ERT44GTP1TF_984","1205211,1205252,1205515,1205558,1205809,1206100"
"AMEXCO SE 9350060670-07032024","SANTANDER_3550","0650060445","9350060670",688,672.67,280,392.67,408,"10",07/03/24,"0532415ERP44AERTF_408","1206312"
"AMEXCO SE 9350060670-08032024","SANTANDER_3550","0660072397","9350060670",405,395.34,200,195.34,205,"10",08/03/24,"0632415ERT44GTP1TF_205","1206663"
"AMEXCO SE 9350060670-12032024","SANTANDER_3550","0670080528","9350060670",615,601.8,0,601.8,615,"10",12/03/24,"0732415ERT44GTP1TF_615","1206961"
"AMEXCO SE 9350060670-12032024","SANTANDER_3550","0680095393","9350060670",300,293.32,150,143.32,150,"10",12/03/24,"1032415ERT44G1TP1TF_150","1207783"
"AMEXCO SE 9350060670-13032024","SANTANDER_3550","0680095392,0710020656","9350060670",4299,4206.41,0,4206.41,4299,"10",13/03/24,"0732415ERP44AERTF_2325,0932415ERT44GTP1TF_1558,1132415ERT44GTP1TF_416","1206931,1207566,1208092"
"AMEXCO SE 9350060670-14032024","SANTANDER_3550","0720030463","9350060670",1362,1331.68,337,994.68,1025,"10",14/03/24,"1232415ERT44GTP1TF_1025","1208401"
"AMEXCO SE 9350060670-15032024","SANTANDER_3550","0730043442","9350060670",2696,2629.5,155,2474.5,2541,"10",15/03/24,"1232415ERP44AERTF_408,1332415ERP44AERTF_816,1332415ERT44GTP1TF_1317","1208366,1208667,1208693"
"AMEXCO SE 9350060670-20022024","SANTANDER_3550","0470086004","9350060670",2933,2826.28,680,2146.28,2253,"10",20/02/24,"1622415ERT44GTP1TF_1025,1822415ERP44AERTF_408,1822415ERT44GTP1TF_820","1200983,1201508,1201547"
"AMEXCO SE 9350060670-22022024","SANTANDER_3550","0510020712","9350060670",1271,1242.71,-1271,2513.71,2542,"0",22/02/24,"2022415ERT44GTP1TF_1271,2022415ERT44GTP1TF_1271","1202173,1202173"
"AMEXCO SE 9350060670-27022024","SANTANDER_3550","0530041214","9350060670",410,401.2,0,401.2,410,"10",27/02/24,"2222415ERT44GTP1TF_410","1202790"
"AMEXCO SE 9350060670-27022024","SANTANDER_3550","0540055584","9350060670",627,613.04,217,396.04,410,"10",27/02/24,"2522415ERT44GTP1TF_410","1203668"
"AMEXCO SE 9350060670-28022024","SANTANDER_3550","0540055583","9350060670",422,412.94,-88,500.94,255,"10",28/02/24,"2322415ERP4MSJERTF_255,2322415ERT44GTP1TF_255","1203097,1203128"
"AMEXCO SE 9350060670-28022024","SANTANDER_3550","0570080632","9350060670",577.01,564.17,167.01,397.16,410,"10",28/02/24,"2622415ERT44GTP1TF_410","1203977"
"AMEXCO SE 9350060670-29022024","SANTANDER_3550","0580090429","9350060670",816,797.82,0,797.82,816,"10",29/02/24,"2722415ERP44AERTF_816","1204263"
"AMEXCO SE 9350232261-06032024","SANTANDER_3550","0610025517,0640050752","9350232261",800,782.52,0,782.52,800,"0",06/03/24,"02324102ERP04D1ERTF_400,04324102ERP04D1ERTF_400","1205409,1205961"
"AMEXCO SE 9350232261-15032024","SANTANDER_3550","0730043965","9350232261",240,234.08,0,234.08,240,"0",15/03/24,"13324102ERP04D1ERTF_240","1208552"
"AMEXCO SE 9350232261-28022024","SANTANDER_3550","0540056126","9350232261",1220,1184.91,0,1184.91,1220,"0",28/02/24,"24224102ERP44D1ERTF_240,24224102ERP44DERTF_980","1203276,1203293"
"AMEXCO SE 9356614447-01032024","SANTANDER_3550","0590118795","9356614447",1312,1280.88,0,1280.88,1618,"10",01/03/24,"2722415ERP04SERTF_446,2822415ERP04PERTF_560,2822415ERP4MSERTF_306","1204273,1204465,1204649"
"AMEXCO SE 9356614447-05032024","SANTANDER_3550","0600025255,0610042763","9356614447",2880,2816.8,0,2816.8,2880,"10",05/03/24,"0332415ERP04PERTF_1348,0332415ERP04SERTF_496,2922415ERP04PERTF_788,2922415ERP04SERTF_248","1204788,1204901,1205718,1205792"
"AMEXCO SE 9356614447-06032024","SANTANDER_3550","0610042762,0640063896","9356614447",6771,6623.26,0,6623.26,6771,"10",06/03/24,"0132415ERP04AERTF_1142,0132415ERP04PERTF_284,0132415ERP04SERTF_942,0132415ERT04BTPTF_84,0132415ERT04ITPTF_392,0232415ERP44PERTF_560,0232415ERT04BTPTF_147,0332415ERP04PERTF_286,0432415ERP04AERTF_408,0432415ERP04DERTF_1460,0432415ERP04PERTF_570,0432415ERP04SERTF_496","1205081,1205115,1205123,1205215,1205224,1205394,1205441,1205718,1205956,1205976,1206076,1206081"
"AMEXCO SE 9356614447-07032024","SANTANDER_3550","0650074337","9356614447",1758,1718.95,0,1718.95,1758,"10",07/03/24,"0432415ERP04SERTF_694,0532415ERP04PERTF_1064","1206081,1206254"
"AMEXCO SE 9356614447-08032024","SANTANDER_3550","0660088912","9356614447",2314,2259.1,0,2259.1,2314,"10",08/03/24,"0532415ERP04SERTF_248,0632415ERP04PERTF_284,0632415ERP04SERTF_1586,0632415ERT04ITPTF_196","1206343,1206528,1206630,1206640"
"AMEXCO SE 9356614447-12032024","SANTANDER_3550","0670094370,0680113452","9356614447",3305,3232.78,0,3232.78,3305,"10",12/03/24,"0732415ERP04AERTF_460,0732415ERP04PERTF_846,0732415ERP4MSERTF_143,0732415ERT04ITPTF_160,1032415ERP04PERTF_1696","1206812,1206838,1206932,1206997,1207718"
"AMEXCO SE 9356614447-13032024","SANTANDER_3550","0680113451,0710034817","9356614447",5968,5839.12,0,5839.12,5968,"10",13/03/24,"0832415ERP04PERTF_924,0832415ERP04SERTF_248,0832415ERP04SERTF_446,0832415ERT04BTPTF_68,0832415ERT04ITPTF_392,0932415ERP04PERTF_2072,0932415ERP04SERTF_248,0932415ERP44SERTF_446,0932415ERT04BTPTF_68,1032415ERP04SERTF_248,1132415ERP04PERTF_560,1132415ERP04SERTF_248","1207094,1207130,1207230,1207241,1207241,1207381,1207392,1207428,1207534,1207787,1207955,1208065"
"AMEXCO SE 9356614447-14032024","SANTANDER_3550","0720044421","9356614447",280,273.78,0,273.78,280,"10",14/03/24,"1232415ERP04PERTF_280","1208271"
"AMEXCO SE 9356614447-15032024","SANTANDER_3550","0730061428","9356614447",1030,1004.78,0,1004.78,1030,"10",15/03/24,"1232415ERP04SERTF_496,1232415ERP44SERTF_248,1332415ERP04PERTF_286","1208222,1208379,1208567"
"AMEXCO SE 9356614447-22022024","SANTANDER_3550","0510035055","9356614447",248,242.49,-248,490.49,496,"0",22/02/24,"2022415ERP04SERTF_248,2022415ERP04SERTF_248","1202153,1202153"
"AMEXCO SE 9356614447-27022024","SANTANDER_3550","0530055286,0540073890","9356614447",1999,1503.93,0,1503.93,1999,"10",27/02/24,"2222415ERP04PERTF_511,2222415ERP04SERTF_744,2522415ERP04SERTF_744","1202660,1202772,1203654"
"AMEXCO SE 9356614447-28022024","SANTANDER_3550","0540073889","9356614447",4549,4451.39,0,4451.39,4549,"10",28/02/24,"2322415ERP04AERTF_408,2322415ERP04DERTF_970,2322415ERP04SERTF_446,2322415ERT04ITPTF_784,2322415ERT4MSRTPTF_200,2422415ERP04PERTF_1295,2422415ERP04SERTF_446","1202973,1203072,1203077,1203080,1203175,1203292,1203384"
"AMEXCO SE 9356614447-28022024","SANTANDER_3550","0570094575","9356614447",1904,1314.15,-282,1596.15,1904,"10",28/02/24,"2522415ERP04SERTF_446,2622415ERP04AERTF_110,2622415ERP04PERTF_852,2622415ERP04SERTF_496,2622415ERP4MSJERTF_282","1203654,1203834,1203844,1203957,1204005"
"AMEXCO SE 9356614447-29022024","SANTANDER_3550","0580104516","9356614447",1292,1263.31,0,1263.31,1292,"10",29/02/24,"2722415ERP04PERTF_1292","1204164"
"AMEXCO SE 9356623992-01032024","SANTANDER_3550","0590118823","9356623992",1513,1477.11,0,1477.11,1513,"0",01/03/24,"2822421ERP04AERTF_408,2822421ERT04ITPTF_285,28224223ERT04GTP1TF_410,28224294ERT04GTP1TF_410","1204444,1204462,1204468,1204605"
"AMEXCO SE 9356623992-05032024","SANTANDER_3550","0600025297,0610042818","9356623992",950,929.25,0,929.25,950,"0",05/03/24,"0332417ERT04BTPTF_68,03324477ERP04AERTF_408,2922417ERT04BTPTF_64,29224223ERT04GTP1TF_410","1204753,1204791,1205690,1205698"
"AMEXCO SE 9356623992-06032024","SANTANDER_3550","0610042817,0640063934","9356623992",7610,7445.68,0,7445.68,7610,"0",06/03/24,"0132421ERT04ITPTF_95,01324223ERT04G1TP1TF_150,01324223ERT04GTP1TF_4100,01324294ERT04GTP1TF_410,0132491ERT04GTP1TF_410,0232417ERT04BTPTF_147,02324223ERT04GTP1TF_820,02324477ERP04PERTF_142,03324223ERT04GTP1TF_410,0432417ERP04SERTF_106,04324223ERT04GTP1TF_410,0432491ERT04GTP1TF_410","1205113,1205118,1205135,1205247,1205249,1205389,1205429,1205444,1205721,1205966,1205979,1206098"
"AMEXCO SE 9356623992-07032024","SANTANDER_3550","0650074374","9356623992",1365,1334.68,0,1334.68,1365,"0",07/03/24,"0532421ERT04ITPTF_190,05324223ERT04G1TP1TF_150,05324223ERT04GTP1TF_820,05324294ERT04GTP1TF_205","1206250,1206257,1206269,1206358"
"AMEXCO SE 9356623992-08032024","SANTANDER_3550","0660088946","9356623992",1680,1640.15,0,1640.15,1680,"0",08/03/24,"06324223ERT04GTP1TF_820,0632491ERT04G1TP1TF_450,0632491ERT04GTP1TF_410","1206531,1206546,1206571"
"AMEXCO SE 9356623992-12032024","SANTANDER_3550","0670094401,0680113498","9356623992",3436,3361.95,0,3361.95,3436,"0",12/03/24,"07324103ERT04GTP1TF_416,07324223ERT04G1TP1TF_150,07324223ERT04GTP1TF_1640,07324294ERT04GTP1TF_410,0732491ERT04GTP1TF_410,10324294ERT04GTP1TF_410","1206797,1206840,1206853,1206959,1206963,1207808"
"AMEXCO SE 9356623992-13032024","SANTANDER_3550","0680113497,0710034849","9356623992",5494,5374.61,0,5374.61,5535,"0",13/03/24,"0832417ERP04SERTF_180,0832421ERT04ITPTF_95,08324223ERT04GTP1TF_410,0932421ERP04AERTF_1591,0932421ERT04ITPTF_190,09324223ERT04GTP1TF_820,09324294ERT4MSTP1TF_41,0932491ERT04GTP1TF_205,11324103ERT04GTP1TF_416,1132417ERP04SERTF_106,1132417ERT04BTPTF_68,1132421ERP04PERTF_142,11324223ERT04GTP1TF_820,11324294ERT04GTP1TF_410","1207122,1207125,1207133,1207402,1207424,1207431,1207556,1207595,1207917,1207921,1207946,1207957,1207968,1208087"
"AMEXCO SE 9356623992-14032024","SANTANDER_3550","0720044458","9356623992",498,486.95,0,486.95,580,"0",14/03/24,"12324103ERT04GTP1TF_416,12324223ERT4MSTP1TF_82","1208232,1208429"
"AMEXCO SE 9356623992-15032024","SANTANDER_3550","0730061463","9356623992",820,799.93,0,799.93,820,"0",15/03/24,"13324223ERT04GTP1TF_820","1208570"
"AMEXCO SE 9356623992-22022024","SANTANDER_3550","0510035089","9356623992",284,277.69,-284,561.69,568,"0",22/02/24,"20224477ERP04PERTF_284,20224477ERP04PERTF_284","1202056,1202056"
"AMEXCO SE 9356623992-27022024","SANTANDER_3550","0530055314,0540073936","9356623992",1325,1296.34,0,1296.34,1325,"0",27/02/24,"22224223ERT04GTP1TF_1025,25224223ERT04G1TP1TF_300","1202663,1203608"
"AMEXCO SE 9356623992-28022024","SANTANDER_3550","0540073935,0570094611","9356623992",3310,3237.98,0,3237.98,3310,"0",28/02/24,"2322421ERT04ITPTF_285,23224294ERT04GTP1TF_820,2322491ERT04GTP1TF_410,2322491ERT4MSTP1TF_205,2422417ERP04SERTF_265,2622421ERT04ITPTF_95,26224223ERT04GTP1TF_410,2622491ERT04GTP1TF_820","1202960,1203099,1203101,1203133,1203284,1203830,1203837,1203972"
"AMEXCO SE 9356623992-29022024","SANTANDER_3550","0580104554","9356623992",2068,1572.4,0,1572.4,2068,"0",29/02/24,"2722417ERT04MTPTF_18,27224223ERT04GTP1TF_2050","1204152,1204165"
"AMEXCO SE 9359908044-01032024","SANTANDER_3550","0590122299","9359908044",5511,5381.5,0,5381.5,5511,"0",01/03/24,"28224277ERP04AERTF_4773,28224277ERT04GTP1TF_738","1204442,1204484"
"AMEXCO SE 9359908044-05032024","SANTANDER_3550","0600028254,0610046465","9359908044",19471,19046.62,0,19046.62,19471,"0",05/03/24,"03324277ERP04AERTF_8690,03324277ERP04PERTF_852,03324277ERP4MSERTF_41,28224277ERP04AERTF_408,29224277ERP04AERTF_5997,29224277ERP4MSERTF_449,29224277ERT04GTP1TF_3034","1204442,1204763,1204807,1204962,1205696,1205799,1205831"
"AMEXCO SE 9359908044-06032024","SANTANDER_3550","0610046464,0640066848","9359908044",17665,17221.59,0,17221.59,17665,"0",06/03/24,"01324277ERP04AERTF_3141,01324277ERT04GTP1TF_1605,02324277ERP04AERTF_2815,02324277ERP4MSERTF_408,29224277ERP04AERTF_408,03324277ERP04AERTF_816,03324277ERT04GTP1TF_1558,04324277ERP04AERTF_4243,04324277ERT04GTP1TF_2671","1204763,1205090,1205137,1205401,1205567,1205696,1205740,1205953,1205999"
"AMEXCO SE 9359908044-07032024","SANTANDER_3550","0650077301","9359908044",3885,3798.99,0,3798.99,3885,"0",07/03/24,"05324277ERP04AERTF_2511,05324277ERP04PERTF_144,05324277ERT04GTP1TF_1230","1206235,1206274,1206283"
"AMEXCO SE 9359908044-08032024","SANTANDER_3550","0660092442","9359908044",9388,9167.38,0,9167.38,9388,"0",08/03/24,"05324277ERP04AERTF_816,06324277ERP04AERTF_7711,06324277ERT04GTP1TF_861","1206235,1206503,1206549"
"AMEXCO SE 9359908044-12032024","SANTANDER_3550","0670097226,0680117168","9359908044",13727,13427.18,0,13427.18,13727,"0",12/03/24,"07324277ERP04AERTF_4388,07324277ERT04GTP1TF_1640,09324277ERP04AERTF_1183,10324277ERP04AERTF_4875,10324277ERP04PERTF_288,10324277ERP4MSERTF_41,10324277ERT04GTP1TF_1230,10324277ERT4MSTP1TF_82","1206811,1206855,1207405,1207694,1207739,1207799,1207831,1207847"
